kernel,C,gamma,mean_f1_macro,std_f1_macro,mean_f1_weighted,mean_prec_macro,mean_rec_macro,mean_accuracy
linear,0.1,N/A,0.5716474425371553,0.019675585390587075,0.7911520036551518,0.5613122614585829,0.629286241637363,0.7553214138771033
linear,1.0,N/A,0.5707245776368878,0.014361137956662542,0.7930011327536428,0.5626132660346187,0.6283435188082231,0.756779308648318
linear,10.0,N/A,0.5726806795708045,0.017437560299403347,0.7968773985759889,0.5626702750547031,0.6245344774750775,0.7647061896852366
linear,100.0,N/A,0.5394170030788626,0.022645144125472215,0.7804283778697085,0.5252059830947288,0.5680631970740981,0.7647059719915273
rbf,0.1,scale,0.5659404410134441,0.01874198623701934,0.7900758211229816,0.5518670099364635,0.618374278069644,0.758449454786105
rbf,0.1,auto,0.10389154309114598,3.660730905256093e-05,0.05753694941957251,0.06153526311550175,0.3333333333333333,0.18460578934650523
rbf,0.1,0.01,0.12742927968790355,0.01693617132681008,0.1072402334581424,0.3951523961907039,0.3444832791526517,0.21005744936988555
rbf,0.1,0.001,0.10389154309114598,3.660730905256093e-05,0.05753694941957251,0.06153526311550175,0.3333333333333333,0.18460578934650523
rbf,1.0,scale,0.5884476310238641,0.03264244111103816,0.8204530441082583,0.5705802623245682,0.6208838152432805,0.8062192915811313
rbf,1.0,auto,0.4616758589185902,0.054134739607944245,0.7472844034004121,0.4708553981224012,0.5613097467971961,0.7379834160932252
rbf,1.0,0.01,0.5581145421695164,0.007916412859844069,0.7894279115752639,0.5463584027146918,0.6040785435211564,0.7578222792095978
rbf,1.0,0.001,0.2503037184705788,0.17505338822644115,0.3685816511511822,0.4323665044224783,0.3892261223607554,0.4281752260204937
rbf,10.0,scale,0.5777494735304969,0.0179863925706014,0.8348372802623901,0.6021090839343655,0.5781194183559414,0.8468927488402368
rbf,10.0,auto,0.5669863343152435,0.01700553100816106,0.7906917169605345,0.5559274739110682,0.6199820558277253,0.7559470655976455
rbf,10.0,0.01,0.5719306790899682,0.019623787868119868,0.791637458551551,0.5636304732896786,0.6306615398433316,0.7544861231145004
rbf,10.0,0.001,0.5597928223453902,0.008814081478375365,0.7898553560380899,0.5475664349549919,0.6064005179056526,0.7584481486238492
rbf,100.0,scale,0.5747890306122809,0.018600686559076655,0.8315271686787801,0.6050477166213275,0.5726529756099051,0.8441826798531002
rbf,100.0,auto,0.5690075353300406,0.014182878252512656,0.7924493006182902,0.5635010430094651,0.6253405086373643,0.7544850346459538
rbf,100.0,0.01,0.5778542997929932,0.019871944383737458,0.7973674985450743,0.5668114234096591,0.6364754652351585,0.7638713343100525
rbf,100.0,0.001,0.5720773351560602,0.01995561635709322,0.7915893630273485,0.563630127950068,0.630946738203441,0.754485905420791
