kernel,C,gamma,mean_f1_macro,std_f1_macro,mean_f1_weighted,mean_prec_macro,mean_rec_macro,mean_accuracy
linear,0.1,N/A,0.7266721822491442,0.005034078219254458,0.7266699674970258,0.7283539003306998,0.7272664749985907,0.7272647515456626
linear,1.0,N/A,0.7897079656084383,0.005396029671311861,0.7897064569443477,0.7914285573457347,0.7890516188436025,0.7890495772864655
linear,10.0,N/A,0.8292637634442762,0.006851525138108362,0.829261809293671,0.8333097287047575,0.8289031700396491,0.8288998173516745
linear,100.0,N/A,0.6089995056211095,0.03590041471271997,0.609003841236267,0.6255532242128428,0.6153865619382277,0.6153934037814133
rbf,0.1,scale,0.8073887854808153,0.004996460887385547,0.8073877986737654,0.8101860290979843,0.8073309907235157,0.8073301525075935
rbf,0.1,auto,0.409396946359463,0.12171306691698278,0.40934248795113665,0.34906955598561684,0.5285086845682143,0.5284656204405775
rbf,0.1,0.01,0.51416358915838,0.036228467929691636,0.5141308790693966,0.5189967509427577,0.5524585502126513,0.5524195265842258
rbf,0.1,0.001,0.409385054896463,0.12170637952200766,0.40933060192299164,0.3490380213883211,0.5285086845682143,0.5284656204405775
rbf,1.0,scale,0.9504598370673879,0.004667248045949284,0.9504579649961251,0.9507181433605207,0.9506469737114079,0.950644530613847
rbf,1.0,auto,0.4915358096302519,0.06993737390612616,0.4915171865207507,0.6000463721010637,0.5660525771839826,0.5660383102148602
rbf,1.0,0.01,0.6859758545231169,0.0038039741888557035,0.6859755005876547,0.6898269354270451,0.6890546254016573,0.6890595573847299
rbf,1.0,0.001,0.5072196043066839,0.031647526257218644,0.5072005371549562,0.51722653008426,0.5505141840639897,0.550500299402948
rbf,10.0,scale,0.9696079794749242,0.0032052720026281905,0.9696072369263857,0.9701897667111365,0.9697492655855585,0.96974714857318
rbf,10.0,auto,0.7067678188913906,0.005092017555083673,0.7067650303424393,0.7095752960205058,0.7085303568408592,0.7085280148457094
rbf,10.0,0.01,0.745991244510221,0.0036385830327659244,0.7459891681504344,0.7470278941313828,0.7457294974663484,0.745727432241814
rbf,10.0,0.001,0.6876332245198994,0.004835518638067161,0.6876333829520039,0.6910200632946364,0.6904246136886083,0.6904306308006711
rbf,100.0,scale,0.9703383541228424,0.003315511111536699,0.9703376208382657,0.9709699080243345,0.9704802350126212,0.9704783682414064
rbf,100.0,auto,0.7733639802885889,0.005228547054852352,0.773362905266272,0.7747177473030186,0.7726895540898584,0.7726894402208817
rbf,100.0,0.01,0.8154081430391915,0.005448279164307182,0.8154070320188342,0.8176182075675561,0.8148254630412588,0.8148248304844815
rbf,100.0,0.001,0.7451427972322019,0.0033711934959127737,0.7451404575421655,0.7461330095421049,0.744906953291868,0.7449046796221426
